[fn, FUNCTION]
[main, ID]
[(, OPEN_PAR]
[), CLOSE_PAR]
[{, OPEN_BRACK]
[int, INT_TYPE]
[_teste, ID]
[=, ATTRIBUTION]
[0, INT]
[;, EOL]
[float, FLOAT_TYPE]
[teste, ID]
[=, ATTRIBUTION]
[1.5, FLOAT]
[;, EOL]
[var, VAR]
[novo_teste, ID]
[=, ATTRIBUTION]
[true, TRUE]
[;, EOL]
[if, IF]
[(, OPEN_PAR]
[_teste, ID]
[==, OP]
[teste, ID]
[), CLOSE_PAR]
[{, OPEN_BRACK]
[return, RETURN]
[1, INT]
[;, EOL]
[}, CLOSE_BRACK]
[else, ELSE]
[{, OPEN_BRACK]
[return, RETURN]
[_teste, ID]
[;, EOL]
[}, CLOSE_BRACK]
[// Faz o teste de comentario, COMMENT]
[while, WHILE]
[(, OPEN_PAR]
[novo_teste, ID]
[), CLOSE_PAR]
[{, OPEN_BRACK]
[novo_teste, ID]
[=, ATTRIBUTION]
[false, FALSE]
[;, EOL]
[}, CLOSE_BRACK]
[return, RETURN]
[0, INT]
[;, EOL]
[}, CLOSE_BRACK]
